_id;initial
2241444367083401;30
2241444367083402;30
2241444367083403;30
2241444367083404;30
2241444367083405;30
2241444367083406;30
2241444367083407;30
2241444367083408;30
2241444367083409;30
2241444367083410;30
2241444367083411;30
2241444367083412;30
2241444367083413;30
2241444367083414;30
2241444367083415;30
2241444367083416;30
2241444367083417;30
2241444367083418;30
2241444367083419;30
2241444367083420;40
2241444367083421;40
2241444367083422;40
2241444367083423;40
2241444367083424;40
2241444367083425;40
2241444367083426;40
2241444367083427;40
2241444367083428;40
2241444367083429;40
2241444367083430;40
2241444367083431;40
2241444367083432;40
2241444367083433;40
2241444367083434;40
2241444367083435;40
2241444367083436;40
2241444367083437;40
2241444367083438;40
2241444367083439;40
2241444367083440;40
2241444367083441;40
2241444367083442;40
2241444367083443;40
2241444367083444;40
2241444367083445;40
2241444367083446;40
2241444367083447;40
2241444367083448;40
2241444367083449;40
2241444367083450;40
2241444367083451;40
2241444367083452;40
2241444367083453;40
2241444367083454;40
2241444367083455;40
2241444367083456;40
2241444367083457;40
2241444367083458;40
2241444367083459;40
2241444367083460;40
2241444367083461;40
2241444367083462;40
2241444367083463;40
2241444367083464;40
2241444367083465;40
2241444367083466;40
2241444367083467;40
2241444367083468;40
2241444367083469;40
2241444367083470;40
2241444367083471;40
2241444367083472;40
2241444367083473;40
2241444367083474;40
2241444367083475;40
2241444367083476;40
2241444367083477;40
2241444367083478;40
2241444367083479;40
2241444367083480;40
2241444367083481;40
2241444367083482;40
2241444367083483;40
2241444367083484;40
2241444367083485;40
2241444367083486;40
2241444367083487;40
2241444367083488;40
2241444367083489;40
2241444367083490;40
2241444367083491;40
2241444367083492;40
2241444367083493;40
2241444367083494;40
2241444367083495;40
2241444367083496;40
2241444367083497;40
2241444367083498;40
2241444367083499;40
2241444367083500;40
2241444367083501;40
2241444367083502;40
2241444367083503;40
2241444367083504;40
2241444367083505;40
2241444367083506;40
2241444367083507;40
2241444367083508;40
2241444367083509;40
2241444367083510;40
2241444367083511;40
2241444367083512;40
2241444367083513;40
2241444367083514;40
2241444367083515;40
2241444367083516;40
2241444367083517;40
2241444367083518;40
2241444367083519;40
2241444367083520;60
2241444367083521;60
2241444367083522;60
2241444367083523;60
2241444367083524;60
2241444367083525;60
2241444367083526;60
2241444367083527;60
2241444367083528;60
2241444367083529;60
2241444367083530;60
2241444367083531;60
2241444367083532;60
2241444367083533;60
2241444367083534;60
2241444367083535;60
2241444367083536;60
2241444367083537;60
2241444367083538;60
2241444367083539;60
2241444367083540;60
2241444367083541;60
2241444367083542;60
2241444367083543;60
2241444367083544;60
2241444367083545;60
2241444367083546;60
2241444367083547;60
2241444367083548;60
2241444367083549;60
2241444367083550;60
2241444367083551;60
2241444367083552;60
2241444367083553;60
2241444367083554;60
2241444367083555;60
2241444367083556;60
2241444367083557;60
2241444367083558;60
2241444367083559;60
2241444367083560;60
2241444367083561;60
2241444367083562;60
2241444367083563;60
2241444367083564;60
2241444367083565;60
2241444367083566;60
2241444367083567;60
2241444367083568;60
2241444367083569;60
2241444367083570;60
2241444367083571;60
2241444367083572;60
2241444367083573;60
2241444367083574;60
2241444367083575;60
2241444367083576;60
2241444367083577;60
2241444367083578;60
2241444367083579;60
2241444367083580;60
2241444367083581;60
2241444367083582;60
2241444367083583;60
2241444367083584;60
2241444367083585;60
2241444367083586;60
2241444367083587;60
2241444367083588;60
2241444367083589;60
2241444367083590;60
2241444367083591;60
2241444367083592;60
2241444367083593;60
2241444367083594;60
2241444367083595;60
2241444367083596;60
2241444367083597;60
2241444367083598;60
2241444367083599;60
2241444367083600;60
2241444367083601;60
2241444367083602;60
2241444367083603;60
2241444367083604;60
2241444367083605;60
2241444367083606;60
2241444367083607;60
2241444367083608;60
2241444367083609;60
2241444367083610;60
2241444367083611;60
2241444367083612;60
2241444367083613;60
2241444367083614;60
2241444367083615;60
2241444367083616;60
2241444367083617;60
2241444367083618;60
2241444367083619;60
2241444367083620;80
2241444367083621;80
2241444367083622;80
2241444367083623;80
2241444367083624;80
2241444367083625;80
2241444367083626;80
2241444367083627;80
2241444367083628;80
2241444367083629;80
2241444367083630;80
2241444367083631;80
2241444367083632;80
2241444367083633;80
2241444367083634;80
2241444367083635;80
2241444367083636;80
2241444367083637;80
2241444367083638;80
2241444367083639;80
2241444367083640;80
2241444367083641;80
2241444367083642;80
